time_ns,front_position (HR),front_position (marshak),front_position (gold_loss),front_position (ablation_const_rho),front_position (ablation_varying_rho),front_position (ablation_varying_rho_lam_eff)
0.01,0.0004932875786666423,0.0,0.0,0.0,0.0,0.0
0.013993993993993994,0.0005835405244253661,3.1445127656975636e-05,3.1445127656975636e-05,3.144512765697563e-05,2.6800676019705503e-05,2.6800675940145454e-05
0.017987987987987987,0.0006615938724220954,7.291008692411674e-05,7.260244264615396e-05,7.260081818563417e-05,6.607243923203779e-05,6.604513365126286e-05
0.021981981981981983,0.0007313640409579189,0.00011401708308230228,0.00011321569426285034,0.00011320977972222444,0.00010509637986410035,0.00010496726443471188
0.02597597597597598,0.0007950347594829607,0.00014687612557678448,0.00014545567703812382,0.0001454401275076378,0.00013501536347583433,0.0001348345947983266
0.02996996996996997,0.0008497735252893222,0.00017914212736920467,0.0001773153944006294,0.00017728595668790273,0.00016588723422413253,0.00016563205729637357
0.033963963963963964,0.0009052099835047168,0.0002096081951307214,0.00020742623926861325,0.0002073793809413866,0.00019556441120510205,0.00019520946129405776
0.03795795795795796,0.0009666034554849847,0.0002387451336554113,0.0002362222179363284,0.0002361501404750122,0.00022312204822796494,0.0002226855958052873
0.041951951951951956,0.0010340489001287626,0.00027665604219850854,0.0002738658603257929,0.00027375033369499705,0.0002594996989056411,0.0002589465400147188
0.04594594594594595,0.0010957962328971707,0.00032064694902714046,0.0003175880487459405,0.00031741797246993576,0.00030224733924480077,0.00030152351516751167
0.04993993993993994,0.0012261383781488797,0.0003679273913705713,0.00036456027011009027,0.00036432272375438703,0.00034808596691327225,0.00034716259927625723
0.05393393393393394,0.001349090649128511,0.00041914050989627313,0.00041544830608019934,0.00041513315267018545,0.0003979510287259937,0.0003967812991767912
0.05792792792792793,0.0014667348489048532,0.0004674014620651509,0.00046335676240701355,0.00046296504406401635,0.0004449974732475345,0.000443562020302585
0.061921921921921926,0.0015804699924895252,0.0005121104648297952,0.0005077111724907592,0.0005072391791883733,0.000488323217205278,0.0004866372697954715
0.06591591591591592,0.0016912909350721237,0.0005611764148562573,0.0005564658210429452,0.0005558865666997289,0.0005359442053954386,0.0005339739842795008
0.06990990990990992,0.001799936224684482,0.00061615684621593,0.0006111454022478959,0.0006104386019696519,0.000589649363038045,0.0005873191812651754
0.0739039039039039,0.0019074309090561636,0.0006694446606082472,0.00066409489345602,0.0006632650629366414,0.0006417501212145093,0.0006390317189152297
0.0778978978978979,0.002014291049251166,0.0007207398042388419,0.0007150348808179995,0.0007140820682511926,0.0006918361381855671,0.0006887311425709385
0.08189189189189189,0.002118847802343615,0.0007707848330528414,0.0007647331281656975,0.000763652110465449,0.0007407078000781802,0.000737207574853634
0.08588588588588589,0.002221516787785863,0.0008198051785104257,0.0008134163622837135,0.000812201946411902,0.0007886080719783226,0.0007847000463914833
0.08987987987987987,0.0023226367840295517,0.000867860935770298,0.0008611412549172925,0.0008597890886488143,0.0008355837634442186,0.0008312574444295785
0.09387387387387387,0.002422488505086607,0.0009107482426794012,0.0009036976631804382,0.0009022190687323414,0.0008773354380474461,0.0008726066568170975
0.09786786786786787,0.0025213078803380537,0.0009563158009422093,0.0009489687528058065,0.0009473256760209639,0.0009216203379043272,0.0009164680998607812
0.10186186186186186,0.0026192956816539588,0.001010908696722571,0.0010032967848246084,0.0010014319889355384,0.0009749159886390862,0.0009692511997163646
0.10585585585585586,0.002716624653231696,0.001066952876569481,0.0010590527663813366,0.0010569651407813091,0.0010297342385331674,0.0010235000140566852
0.10984984984984986,0.0028134448914432356,0.0011218936405111952,0.0011136751703143238,0.0011113748643774685,0.0010834479840091291,0.0010766342201036303
0.11384384384384384,0.002909351735425477,0.0011756716620942237,0.0011671262248272437,0.0011646147068387898,0.0011359940086045582,0.0011285967127899498
0.11783783783783784,0.003003226344768115,0.0012285171359936416,0.0012196478264483676,0.0012169213755646223,0.0011876173203331998,0.0011796284951953327
0.12183183183183184,0.0030983554735326923,0.0012805493476020786,0.0012713612928053558,0.0012684153154763548,0.0012384416990162803,0.0012298518579285825
0.12582582582582583,0.0031947854590010575,0.0013318259538387925,0.0013223237019245968,0.0013191539121749985,0.0012885229750463955,0.0012793230840869977
0.12981981981981983,0.0032925605795744582,0.0013770011360029893,0.00136718094385248,0.0013638199476085405,0.0013325093487185186,0.001322720904837091
0.13381381381381383,0.0033917232920507817,0.0014227478740032635,0.0014126353730397894,0.001409046857057785,0.0013769540382149864,0.0013665669248716077
0.13780780780780783,0.003492314436359284,0.001477418135887052,0.0014670504612744075,0.0014631401273236069,0.0014302068964920718,0.001419135074760919
0.14180180180180182,0.003492031900799945,0.0015236566729757727,0.0015130227117261534,0.0015088507002107413,0.0014750780142101204,0.0014633263958646033
0.14579579579579582,0.0036505102993763874,0.0015750903176537225,0.0015642319623995998,0.001559698324001444,0.0015249155931370587,0.0015124555161822961
