index,x,y
0,0.012711864406779738,0.01200000000000001
1,0.025423728813559365,0.018000000000000016
2,0.046610169491525466,0.02485714285714291
3,0.07485875706214695,0.03428571428571431
4,0.10593220338983056,0.04199999999999998
5,0.12570621468926552,0.049714285714285766
6,0.14689265536723162,0.05828571428571433
7,0.1751412429378531,0.07200000000000001
8,0.19774011299435035,0.08314285714285718
9,0.2132768361581921,0.09685714285714286
10,0.23587570621468934,0.10971428571428571
11,0.2500000000000001,0.12257142857142855
12,0.2655367231638419,0.13628571428571434
13,0.2810734463276835,0.1482857142857143
14,0.2966101694915254,0.1611428571428572
15,0.30932203389830504,0.17657142857142855
16,0.32768361581920913,0.192
17,0.34463276836158185,0.21342857142857147
18,0.3615819209039549,0.22885714285714281
19,0.38276836158192096,0.2494285714285714
20,0.5112994350282485,0.40114285714285713
21,0.5225988700564973,0.41571428571428565
22,0.5423728813559322,0.43885714285714283
23,0.5550847457627118,0.4611428571428571
24,0.5663841807909603,0.47657142857142853
25,0.5776836158192091,0.4894285714285714
