time_ns,x_derivation_cm,x_no_marshak_cm,delta_derivation_minus_no_marshak_cm,ratio_derivation_over_no_marshak
0.03809523809523796,0.0,0.0008295707522549305,-0.0008295707522549305,0.0
0.09791547140944717,0.0015962247605074253,0.0013466071531423847,0.0002496176073650406,1.1853678014278652
0.1577357047236564,0.0023107452596919267,0.001758908512999424,0.0005518367466925027,1.313738174904543
0.21755593803786558,0.0029028882052885147,0.0021336185360475647,0.0007692696692409499,1.3605469563767423
0.2773761713520748,0.003381277620368144,0.002484641930355822,0.0008966356900123218,1.3608711899520733
0.337196404666284,0.003961245135506176,0.0029095024275344575,0.0010517427079717186,1.361485420331124
0.3970166379804932,0.004679409695325087,0.003425650779474812,0.0012537589158502752,1.3659914558023014
0.4568368712947024,0.005588503065812087,0.004035367040960015,0.0015531360248520728,1.3848809808593225
0.5166571046089117,0.0065355047651755325,0.004656733141634764,0.001878771623540768,1.4034527138227246
0.5764773379231208,0.0074067546607791,0.0052422776348417756,0.002164477025937324,1.4128886672372234
0.63629757123733,0.008221851791017492,0.005803209707791357,0.0024186420832261347,1.416776612428615
0.6961178045515393,0.009000005502868186,0.006350387046680545,0.0026496184561876418,1.4172373174596724
0.7559380378657484,0.009755438791280317,0.006892385799494433,0.002863052991785884,1.415393606085703
0.8157582711799577,0.010461778924416803,0.007425801033436725,0.0030359778909800784,1.4088418040437318
0.8755785044941669,0.011190793323559675,0.007981802747824137,0.0032089905757355375,1.4020383210560192
0.9353987378083761,0.01192742390746698,0.008560399769525887,0.0033670241379410923,1.3933255722387334
0.9952189711225853,0.012758196425558043,0.009196443439388894,0.0035617529861691494,1.3872967859416128
1.0550392044367944,0.01380575955799601,0.009926538544790142,0.0038792210132058674,1.3907929230015272
1.1148594377510037,0.014903697945868878,0.01068055829271833,0.004223139653150548,1.3954043915503698
1.174679671065213,0.01598966767392768,0.01143417998336933,0.0045554876905583505,1.3984096539659312
1.234499904379422,0.01705059061552839,0.01218444636278852,0.00486614425273987,1.3993734395352708
1.2943201376936313,0.01806095799796398,0.012926730475858357,0.005134227522105624,1.3971791267478022
1.3541403710078406,0.019111408318442005,0.013696679619652768,0.005414728698789237,1.395331485378389
1.4139606043220498,0.020159396819625326,0.014481413342379772,0.005677983477245553,1.3920876604377397
1.473780837636259,0.021200651026379677,0.015284786339035928,0.0059158646873437495,1.3870426812728929
1.5336010709504682,0.022479116072095837,0.01619157894829711,0.0062875371237987275,1.3883214320157453
1.5934213042646774,0.02394687064151535,0.017171236030761622,0.006775634610753728,1.3945921306198013
1.6532415375788865,0.025375569971656,0.01813507433885557,0.00724049563280043,1.3992537056926864
1.7130617708930957,0.02668800108917426,0.019059545434432196,0.007628455654742065,1.400243315402518
1.772882004207305,0.02794966450200311,0.019973776957194562,0.007975887544808546,1.3993179438171122
1.8327022375215143,0.02923748249819834,0.020907534795307266,0.008329947702891072,1.3984184546119107
1.8925224708357233,0.030552617124071053,0.021861534351598932,0.00869108277247212,1.3975513627128584
1.9523427041499326,0.03189613326162867,0.02283644121404581,0.009059692047582859,1.3967208359072425
2.012162937464142,0.03317296481847077,0.023801594192852497,0.009371370625618273,1.393728695216241
2.071983170778351,0.034422811396034765,0.02477730191980013,0.009645509476234635,1.3892881277975904
2.1318034040925604,0.035765712462857625,0.02580980243132229,0.009955910031535335,1.3857414274296431
2.1916236374067695,0.03719957207767676,0.026898770953384853,0.010300801124291908,1.3829469064643525
2.2514438707209785,0.03873938395938759,0.028049487037131757,0.010689896922255835,1.3811084640551397
2.311264104035188,0.040388387201553404,0.029262052550063315,0.01112633465149009,1.3802308341991552
2.371084337349397,0.042107290649284326,0.03052165176874864,0.011585638880535685,1.379587545533768
2.430904570663606,0.04389555318789995,0.0318283553295387,0.012067197858361252,1.3791335660740893
2.4907248039778156,0.045752766123395364,0.0331822740120082,0.012570492111387166,1.3788315444215211
2.5505450372920246,0.047900059029370945,0.0346569391114441,0.013243119917926843,1.3821202984874628
2.6103652706062337,0.05019663990218823,0.036190032407281,0.01400660749490723,1.3870294267017365
2.670185503920443,0.0524528187093719,0.03770883607414329,0.014743982635228609,1.3909954315810469
2.7300057372346522,0.054675858263975266,0.039216495888791184,0.015459362375184083,1.3942056021278193
2.7898259705488617,0.05687184810019453,0.04071570905416149,0.01615613904603304,1.3968035783078605
2.8496462038630708,0.05904595806898559,0.04220881117325201,0.016837146895733582,1.3989012347830205
2.90946643717728,0.061202625409548954,0.04369784270822924,0.017504782701319714,1.400586885219924
2.9692866704914893,0.06334569546447093,0.045184600537099634,0.018161094927371293,1.4019310719026894
3.0291069038056984,0.06560428113100232,0.046712662822404695,0.018891618308597626,1.404421781314866
3.0889271371199074,0.06790190010290979,0.048250789783567144,0.01965111031934265,1.4072702313783734
3.148747370434117,0.07015803404405174,0.04976935949626169,0.020388674547790052,1.409663189443326
3.208567603748326,0.0723773746268543,0.05127063804487865,0.02110673658197565,1.4116729845160172
3.268387837062535,0.07456400109291271,0.0527566209085905,0.02180738018432221,1.4133581682971523
3.3282080703767445,0.07672148762974573,0.05422907652434991,0.02249241110539582,1.4147666260792084
3.3880283036909535,0.07885862297190925,0.0556914707371172,0.02316715223479205,1.4159910292933173
